NO,최초입사연도,산지,마번,마명,생산국,성별,털색,부마,모마,생산자,경매일,경매가,최초경주마입사일,출전,1위횟수,2위횟수,수득상금,승률,최고군,최초출전일,입사시조,입사시조교사,최초출발검사합격일,출생년도,심사 합격마,육성훈련합격일,육성조련사,경주마가격,포입여부
6301,2021,국산,44178,정문질주,한국,수,갈색,커널존,로열제이,김성묵,,,2021-11-06,1,0,0,,0,6,2022-02-20,6,홍대유,2021-11-24,2019,1,2021-10-28,윤대근,"20,000,000",
6407,2021,국산,44386,위대한한마,한국,암,회색,한센,마오노,권광세,,,2021-11-13,2,0,0,1600000,0,6,2022-01-16,50,박재우,2021-12-08,2019,1,2021-10-28,이재현,"18,150,000",
6338,2021,국산,44481,아름다운인연,한국,암,흑갈색,NOT THIS TIME,레인스터레이디,오공학,,,2021-11-18,,,,,,,,19,김영관,,2019,1,2021-10-15,고명주,"30,000,000",포입말
5858,2021,국산,44344,마군,한국,수,갈색,위드디스팅션,메스인어드레스,선경래,,,2021-12-17,,,,,,,,19,김영관,2022-01-22,2019,1,2021-10-15,홍성호,"35,000,000",
6476,2021,국산,45028,파이트패밀리,한국,수,갈색,위드디스팅션,파이트백,박수영,,,2021-11-28,,,,,,,,9,양귀선,,2019,1,2021-10-15,박승호,"24,000,000",
6856,2021,국산,44635,돈마,한국,수,흑갈색,클리어어템프트,시크릿킨,임병효,2021-07-06,"28,000,000",2021-10-16,2,1,0,22000000,50,5,2022-01-09,9,강성오,2021-11-10,2019,1,2021-10-15,최종필,"28,000,000",
6442,2021,국산,44881,골든아너,한국,수,밤색,투아너앤드서브,골든로즈,김선식,2021-03-23,"50,000,000",2021-11-27,,,,,,6,,25,전승규,2022-02-10,2019,1,2021-10-15,박승호,"50,000,000",
6078,2021,국산,44710,캐치더윈,한국,암,갈색,퍼지,퀸엘레강스,이병일,,,2021-11-14,,,,,,,,13,박재호,2022-02-26,2019,1,2021-10-15,박승호,"500,000",
6729,2021,국산,47043,꿈너머,한국,수,갈색,퍼지,하이키,강종우,,,2021-10-17,,,,,,6,,21,민장기,2021-11-10,2019,1,2021-10-15,박승호,"32,500,000",
6781,2021,국산,44569,마루마,한국,수,갈색,메니피,익스플리시틀리,윤복선,2021-07-06,"91,000,000",2021-10-30,2,0,0,1600000,0,6,2022-01-09,18,박대흥,2021-11-24,2019,1,2021-10-14,전기혁,"91,000,000",
6872,2021,국산,44682,뷰어메이징,한국,수,밤색,메니피,소나타존,김정두,,,2021-10-24,2,0,0,,0,6,2022-02-18,31,라이스,2021-11-27,2019,1,2021-10-14,한국생협A,,
6632,2021,국산,44372,희망의불꽃,한국,수,갈색,애니기븐새터데이,송버드투,김준현,,,2021-10-23,,,,,,6,,6,홍대유,2021-12-09,2019,1,2021-10-14,윤치운,,
6012,2021,국산,43797,케이엔올드퀸,한국,암,회색,올드패션드,브와나베이브,유경협,,,2021-10-16,2,1,1,35200000,50,5,2021-12-26,18,박대흥,2021-11-04,2019,1,2021-10-14,한국생협B,"35,000,000",
6596,2021,국산,44642,알파송당,한국,암,회색,올드패션드,미스윈,권미애,,,2021-12-05,2,1,1,30800000,50,5,2022-01-28,1,백광열,2021-12-22,2019,1,2021-10-14,전기혁,"20,000,000",
5968,2021,국산,43900,스타태풍,한국,거,갈색,지롤라모,베이비북,박승현,2021-07-06,"38,000,000",2021-10-30,,,,,,,,53,김동철,2021-11-24,2019,1,2021-10-14,전기혁,"38,000,000",
5987,2021,국산,43945,퀵니스,한국,암,갈색,컬러즈플라잉,모닝스카이,김홍대,,,2021-11-13,,,,,,6,,48,이준철,2022-02-16,2019,1,2021-10-14,김경남,"5,000,000",
6679,2021,국산,44292,원평버드,한국,수,갈색,퍼지,플러터버드,농업회사법인(주)트리플크라운팜,,,2021-10-23,2,0,0,,0,6,2022-01-22,23,유재길,2021-11-24,2019,1,2021-10-14,윤치운,"25,000,000",
5997,2021,국산,43934,대천천하,한국,암,갈색,프라이빗보우,공동천하,김경민,,,2021-10-23,,,,,,,,22,안병기,2021-11-03,2019,1,2021-10-14,김경남,,
6502,2021,국산,44685,그레이토르,한국,거,회색,피스룰즈,위대한참전,이병일,,,2021-10-23,,,,,,,,26,안해양,,2019,1,2021-10-14,양승희,,
6673,2021,국산,44532,네버네버스톱,한국,거,갈색,GIG HARBOR,슈가캐인로열티,페가수스,,,2021-10-16,,,,,,6,,12,서범석,2021-11-18,2019,1,2021-09-30,고명주,"25,000,000",포입말
6866,2021,국산,44251,은혜가문,한국,암,갈색,라이언메탈,골드플라잉,전동호,,,2021-10-16,2,0,0,,0,6,2021-12-26,8,최용구,2021-11-17,2019,1,2021-09-30,한국생협B,"20,000,000",
6204,2021,국산,43809,백두미인,한국,암,밤색,빅스,홍바오,코리아호스랜드,2021-07-06,"24,000,000",2021-10-09,,,,,,6,,50,박재우,2021-11-03,2019,1,2021-09-30,이재현,"24,000,000",
5828,2021,국산,44424,모닝뮤즈,한국,암,밤색,사이먼퓨어,캐스퍼레트,김중길,,,2021-10-17,2,0,0,,0,6,2022-01-28,4,임금만,2021-11-20,2019,1,2021-09-30,박승호,,
6558,2021,국산,44536,야생화,한국,암,갈색,선더모카신,티즈벗어드림,페가수스,,,2021-11-08,,,,,,6,,31,라이스,2021-12-15,2019,1,2021-09-30,조근원,,
6853,2021,국산,44404,아치신,한국,암,갈색,아치아치아치,선기어,농업회사법인(주)송암축산,,,2021-11-04,,,,,,6,,8,최용구,2022-01-19,2019,1,2021-09-30,조근원,,
6232,2021,국산,47044,엑톤파워,한국,수,갈색,엑톤파크,울트라매직,방영주,,,2021-10-10,2,0,0,,0,6,2022-01-23,12,조용배,2021-11-27,2019,1,2021-09-30,조근원,"20,000,000",
6825,2021,국산,44477,아트켈리,한국,암,밤색,올드패션드,포에마,이용대,2021-05-11,"66,000,000",2021-10-25,3,1,1,30800000,33.3,6,2022-01-21,15,안우성,2021-12-11,2019,1,2021-09-30,박승호,"66,000,000",
6248,2021,국산,43710,은빛질주,한국,암,회색,올드패션드,아멜,이용대,2021-07-06,"20,000,000",2021-10-10,1,0,0,1600000,0,6,2022-02-25,17,장세한,2021-12-22,2019,1,2021-09-30,윤치운,"20,000,000",
6508,2021,국산,44339,작두콩,한국,암,갈색,올드패션드,업라이징,김강석,,,2021-10-30,3,0,0,,0,6,2021-12-26,10,정호익,2021-11-10,2019,1,2021-09-30,최종필,"15,000,000",
6516,2021,국산,45106,시크릿킹,한국,수,갈색,올드패션드,시크릿스태시,김명식,,,2021-10-02,,,,,,,,24,서홍수,2021-10-21,2019,1,2021-09-30,한국생협B,,
6244,2021,국산,44447,빈체로킹,한국,수,흑갈색,지롤라모,더블브릴리언트,양호규,2021-07-06,"35,000,000",2021-10-09,3,0,0,,0,6,2022-01-08,33,서인석,2021-10-21,2019,1,2021-09-30,김경남,"35,000,000",
5973,2021,국산,43711,블랙버미,한국,암,흑갈색,카우보이칼,애머랜스,이용대,2021-10-26,"25,000,000",2021-10-30,1,0,0,,0,6,2022-02-13,24,서홍수,2021-12-01,2019,1,2021-09-30,최종필,"25,000,000",
6701,2021,국산,44460,피엔에스찬스,한국,암,갈색,카우보이칼,절호찬스,이광림,,,2021-10-10,5,0,0,6650000,0,6,2021-11-13,4,박윤규,2021-10-21,2019,1,2021-09-30,박승호,"25,000,000",
6719,2021,국산,44468,천적캣,한국,암,회색,카우보이칼,에이티파이브에스,이광림,2021-10-26,"20,000,000",2021-10-30,2,0,0,,0,6,2022-02-12,29,배휴준,2021-11-24,2019,1,2021-09-30,박승호,"20,000,000",
6074,2021,국산,43733,케이에프원,한국,암,밤색,카우보이칼,러브토어치,이광림,2021-10-26,"20,000,000",2021-10-31,2,1,0,22000000,50,5,2022-01-16,28,하무선,2021-11-27,2019,1,2021-09-30,박승호,"20,000,000",
6886,2021,국산,44495,글로벌캐슬,한국,암,갈색,카우보이칼,하버걸,이광림,2021-10-26,"20,000,000",2021-10-30,1,0,0,,0,6,2022-03-05,6,홍대유,2021-11-25,2019,1,2021-09-30,박승호,"20,000,000",
6827,2021,국산,44358,라스트펀치,한국,암,갈색,커널존,라스트코디,양남일,,,2021-10-09,3,1,0,33000000,33.3,5,2021-12-26,19,곽영효,2021-11-10,2019,1,2021-09-30,윤대근,,
6883,2021,국산,44692,함평스카이,한국,수,밤색,컬러즈플라잉,그레스펄발레리나,양희철,,,2021-12-31,,,,,,6,,32,김윤섭,2022-02-09,2019,1,2021-09-30,이상근,"42,000,000",
6696,2021,국산,44736,에클레어더원,한국,암,갈색,컬러즈플라잉,에클레어드림,김근영,,,2021-11-03,1,0,0,,0,6,2022-01-30,25,전승규,2021-11-24,2019,1,2021-09-30,박승호,,
6809,2021,국산,44845,사려니프린스,한국,수,갈색,컬러즈플라잉,파인공주,오영익,,,2021-10-30,,,,,,,,14,이신영,,2019,1,2021-09-30,최종필,,
6355,2021,국산,44033,베스트전사,한국,수,갈색,콩코드포인트,베트파티,이상영,,,2021-10-09,3,0,0,5600000,0,6,2021-12-11,50,박재우,2021-11-10,2019,1,2021-09-30,윤대근,"50,000,000",
